zone_type,feature,nedt_k_approx,n_control_samples,n_control_windows,mean_samples_per_window,sigma_control_sample_k,sigma_control_window_mean_k,sigma_control_within_event_k,n_events_within_event_sigma,n_control_null_pairs_within_event,sigma_control_paired_robust_mean_se_k,sigma_eff_theory_k,n_events_with_pairs,mean_event_control_delta_k,mean_abs_event_control_delta_k,z_eff_abs_vs_empirical_sigma,z_eff_abs_vs_empirical_within_event_sigma,z_eff_abs_vs_empirical_paired_robust_sigma,z_eff_abs_vs_theory_sigma,z_eff_mean_vs_empirical_sigma,frac_events_abs_delta_gt_2sigma_empirical,frac_events_abs_delta_gt_2sigma_empirical_within_event,frac_events_abs_delta_gt_2sigma_empirical_paired_robust,frac_events_abs_delta_gt_2sigma_theory,criterion_gt_2sigma_empirical,criterion_gt_2sigma_empirical_within_event,criterion_gt_2sigma_empirical_paired_robust,criterion_gt_2sigma_theory
2,BT_36_V,0.3,69854,18,3880.777777777778,25.726520759781174,8.469793274410753,0.7806744661313343,9,9,0.188307107421275,0.0048157270912277,9,-0.09711976480879356,0.9418213593828378,0.1111976796680862,1.206420089605433,5.001517851770849,195.5719959917276,0.0114666039255309,0.0,0.3333333333333333,0.7777777777777778,1.0,False,False,True,True
2,BT_89_H,0.6,69854,18,3880.777777777778,20.12364855736398,8.27082942766266,1.1894294282335807,9,9,0.3166188333126226,0.0096314541824554,9,0.17089590973524574,1.476955816974197,0.17857408738649147,1.2417347191145431,4.664775627910557,153.347125885166,0.020662487508648936,0.0,0.2222222222222222,0.7777777777777778,1.0,False,False,True,True
2,BT_89_V,0.6,69854,18,3880.777777777778,9.914545661650134,3.9412258695063977,0.782678248652359,9,9,0.09227695525904767,0.0096314541824554,9,0.01531738689321729,0.8593808234153484,0.21804911767794163,1.0980001359371598,9.313060026772902,89.22648720904381,0.0038864524390061542,0.0,0.2222222222222222,0.8888888888888888,1.0,False,False,True,True
3,BT_06_H,0.3,44583,10,4458.3,66.45785095397024,37.141050572126005,0.6294532572515728,5,5,0.11889653883623703,0.004493001982994351,5,-0.17070938606692324,0.9286377682547681,0.025003002175487777,1.4753085436550861,7.810469315123073,206.6853679944026,0.004596245486794037,0.0,0.2,0.8,1.0,False,False,True,True
3,BT_06_V,0.3,44583,10,4458.3,39.647259700516,24.002640436443166,0.3395966243522056,5,5,0.18836593118532516,0.004493001982994351,5,-0.22061952941490973,0.5216268922620202,0.021732062922128977,1.5360190733846213,2.769220999676496,116.0976323260786,0.009191469163531838,0.0,0.4,0.6,1.0,False,False,True,True
3,BT_10_H,0.6,44583,10,4458.3,64.47021346378212,36.43879812707571,0.7527556148616041,5,5,0.16087899442923656,0.008986003965988702,5,-0.09588832934144306,1.0538379767286756,0.028920766625000878,1.399973584949514,6.550500769024955,117.27548537897013,0.0026314899027965913,0.0,0.2,1.0,1.0,False,False,True,True
3,BT_10_V,0.6,44583,10,4458.3,36.868764120361384,22.53207185765135,0.37218280010542876,5,5,0.12901757153104945,0.008986003965988702,5,-0.10509552798528717,0.4080123356616866,0.018108070054069857,1.0962686495617433,3.1624555540753927,45.4053144429916,0.004664263839084077,0.0,0.0,0.6,1.0,False,False,True,True
3,BT_23_H,0.6,44583,10,4458.3,47.34303327186238,39.66556145444716,0.6230576524437677,5,5,0.32164353201704243,0.008986003965988702,5,-0.43575234486158365,1.9752407250760087,0.049797372144710986,3.170237484972193,6.141086415415154,219.81302618518032,0.010985659319659741,0.0,0.8,1.0,1.0,False,True,True,True
3,BT_23_V,0.6,44583,10,4458.3,26.960400355257523,23.662418855406486,0.35162399185990256,5,5,0.08920643314412251,0.008986003965988702,5,-0.3365103205333469,1.0290645569491914,0.04348940669326655,2.9266050689715204,11.535766207428425,114.51859590137258,0.014221298447536342,0.0,0.6,1.0,1.0,False,True,True,True
3,BT_36_H,0.3,44583,10,4458.3,43.78839210670581,29.210411711914084,0.593609852416838,5,5,0.2775669386890247,0.004493001982994351,5,-0.14751705079137878,1.6808094836157637,0.05754145132196853,2.831505367999662,6.055510398876711,374.0949792538467,0.0050501530839844625,0.0,0.6,0.6,1.0,False,True,True,True
